Line #, Timestamp, Battery ID, Current (A), Voltage (V), State Of Charge (%), Total Capacity, Remaining Capacity (AH),Cell Voltage 1 (mV),Cell Voltage 2 (mV),Cell Voltage 3 (mV),Cell Voltage 4 (mV),Cell Voltage 5 (mV),Cell Voltage 6 (mV),Cell Voltage 7 (mV),Cell Voltage 8 (mV),Cell Voltage 9 (mV),Cell Voltage 10 (mV),Cell Voltage 11 (mV),Cell Voltage 12 (mV),Cell Voltage 13 (mV),Cell Voltage 14 (mV),Cell Voltage 15 (mV),Cell Voltage 16 (mV),Highest Cell Voltage (mV), Lowest Cell Voltage (mV),Temperature 1 (C),Temperature 2 (C),Temperature 3 (C),Temperature 4 (C),Charging (1) Discharging (2) Status, Charging MOS Status, Discharging MOS Status, Balancing Status, Cell Balancing Status,Alarm 1,Alarm 2,Alarm 3,Alarm 4,Alarm 5,Alarm 6,Alarm 7,Alarm 8,
1, 2023-10-30 13:36:36, 0, 146.10, 53.90, 49.40, 0.00, 138.00, 3363.00, 3367.00, 3370.00, 3374.00, 3376.00, 3367.00, 3371.00, 3367.00, 3386.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3386.00, 3363.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 1, 1, '0000000010000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', 
2, 2023-10-30 13:36:40, 0, 146.10, 53.90, 49.50, 0.00, 138.00, 3364.00, 3367.00, 3370.00, 3374.00, 3377.00, 3367.00, 3371.00, 3367.00, 3386.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3386.00, 3363.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 1, 1, '0000000010000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', 
3, 2023-10-30 13:36:44, 0, 146.10, 53.90, 49.50, 0.00, 138.00, 3368.00, 3367.00, 3368.00, 3374.00, 3377.00, 3367.00, 3371.00, 3367.00, 3386.00, 3368.00, 3367.00, 3368.00, 0.00, 0.00, 0.00, 0.00, 3386.00, 3363.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 1, 1, '0000000010000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', 
4, 2023-10-30 13:36:47, 0, 146.10, 53.90, 49.60, 0.00, 138.00, 3364.00, 3367.00, 3370.00, 3374.00, 3377.00, 3367.00, 3371.00, 3367.00, 3386.00, 3368.00, 3367.00, 3368.00, 0.00, 0.00, 0.00, 0.00, 3386.00, 3363.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 1, 1, '0000000010000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', 
5, 2023-10-30 13:36:51, 0, 146.10, 53.90, 49.60, 0.00, 138.00, 3368.00, 3368.00, 3369.00, 3374.00, 3377.00, 3367.00, 3371.00, 3367.00, 3386.00, 3368.00, 3368.00, 3369.00, 0.00, 0.00, 0.00, 0.00, 3386.00, 3363.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 1, 1, '0000000010000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', 
6, 2023-10-30 13:36:55, 0, 146.10, 53.90, 49.70, 0.00, 139.00, 3368.00, 3367.00, 3368.00, 3374.00, 3377.00, 3367.00, 3371.00, 3367.00, 3386.00, 3368.00, 3367.00, 3368.00, 0.00, 0.00, 0.00, 0.00, 3386.00, 3363.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 1, 1, '0000000010000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', 
7, 2023-10-30 13:36:59, 0, 146.10, 53.90, 49.70, 0.00, 139.00, 3365.00, 3367.00, 3370.00, 3374.00, 3377.00, 3367.00, 3371.00, 3367.00, 3386.00, 3368.00, 3367.00, 3368.00, 0.00, 0.00, 0.00, 0.00, 3386.00, 3363.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 1, 1, '0000000010000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', 
8, 2023-10-30 13:37:03, 0, 146.10, 53.90, 49.80, 0.00, 139.00, 3365.00, 3367.00, 3370.00, 3374.00, 3377.00, 3367.00, 3371.00, 3367.00, 3386.00, 3368.00, 3367.00, 3368.00, 0.00, 0.00, 0.00, 0.00, 3386.00, 3362.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 1, 1, '0000000010000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', 
9, 2023-10-30 13:37:07, 0, 146.10, 53.90, 49.90, 0.00, 139.00, 3365.00, 3367.00, 3370.00, 3375.00, 3377.00, 3367.00, 3371.00, 3367.00, 3386.00, 3368.00, 3367.00, 3368.00, 0.00, 0.00, 0.00, 0.00, 3386.00, 3361.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 1, 1, '0000000010000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', 
10, 2023-10-30 13:37:11, 0, 146.10, 53.90, 49.90, 0.00, 139.00, 3368.00, 3368.00, 3369.00, 3374.00, 3377.00, 3367.00, 3371.00, 3367.00, 3386.00, 3368.00, 3368.00, 3369.00, 0.00, 0.00, 0.00, 0.00, 3386.00, 3363.00, 0.00, 0.00, 0.00, 0.00, 1, 1, 1, 1, '0000000010000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', '00000000', 
